الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
109.4309,111.5975,105.3216,علوم تجريبية,,
136.455,131.635,133.01,إقتصاد وتصرف,,
0,0,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
91.78,93.415,87.5744,آداب,"جامعة تونسالمعهد التحضيري للدراسات الأدبية  والعلومالإنسانية  بتونس",المرحلة التحضيرية للعلوم الإنسانية:فلسفة10195
0,0,98.2175,رياضيات,,
114.635,111.0619,103.8358,علوم تجريبية,,
96.7217,115.5875,93.6709,إقتصاد وتصرف,,
109.3125,100.0216,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
97.0651,95.2407,94.4844,آداب,"جامعة منوبةكلية الآداب  والفنون والإنسانيات  بمنوبة",الإجازة  في العربية11101
0,0,0,رياضيات,,
114.705,124.8423,114.476,علوم تجريبية,,
81.325,80.1968,79.4068,إقتصاد وتصرف,,
97.83,107.0107,155.6636,علوم الإعلامية,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
99.8097,113.2383,109.6764,آداب,"جامعة منوبةكلية الآداب  والفنون والإنسانيات  بمنوبة",الإجازة  في الإنقليزية11102
125.3077,109.7322,147.3711,رياضيات,,
129.1169,132.9796,149.1045,علوم تجريبية,,
86.52,94.3491,90.4241,إقتصاد وتصرف,,
119.6474,131.9471,120.41,العلوم التقنية,,
131.9096,121.9389,132.9101,علوم الإعلامية,,
0,168.9263,157.5789,رياضة,,
67.6717,73.0384,69.8618,آداب,"جامعة منوبةكلية الآداب  والفنون والإنسانيات  بمنوبة",الإجازة  في الفرنسية11103
0,0,94.7663,رياضيات,,
119.7972,118.6273,130.8056,علوم تجريبية,,
80.6834,81.4966,82.9714,إقتصاد وتصرف,,
101.0562,101.0599,110.6436,العلوم التقنية,,
92.5516,91.1034,0,علوم الإعلامية,,
150.3939,116.5016,0,رياضة,,
101.9373,112.185,91.2998,آداب,"جامعة تونس المنارالمعهد العالي للعلوم الإنسانية  بتونس",الإجازة  في الإسبانية11104
0,0,147.8794,رياضيات,,
135.26,134.4562,141.2454,علوم تجريبية,,
108.4231,99.1839,95.1,إقتصاد وتصرف,,
118.1995,104.7156,129.0634,العلوم التقنية,,
0,146.0229,123.4834,علوم الإعلامية,,
0,0,0,رياضة,,
105.8193,104.365,110.4595,آداب,"جامعة تونس المنارالمعهد العالي للعلوم الإنسانية  بتونس",الإجازة  في الإيطالية11105
118.9147,115.865,123.1517,رياضيات,,
141.1919,133.1722,134.905,علوم تجريبية,,
113.0776,109.3166,105.0919,إقتصاد وتصرف,,
103.6441,101.8601,123.0928,العلوم التقنية,,
133.1027,127.7152,174.6936,علوم الإعلامية,,
0,0,0,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
103.7334,103.56,105.43,آداب,"جامعة تونس المنارالمعهد العالي للعلوم الإنسانية  بتونس",الإجازة  في الألمانية11106
0,148.2164,131.0269,رياضيات,,
152.2022,137.3024,152.9512,علوم تجريبية,,
102.918,97.8036,87.2386,إقتصاد وتصرف,,
92.6368,113.5859,171.2,العلوم التقنية,,
149.4202,122.4525,103.2015,علوم الإعلامية,,
0,0,0,رياضة,,
90.2052,87.322,90.5724,آداب,"جامعة منوبةكلية الآداب  والفنون والإنسانيات  بمنوبة",المرحلة التحضيرية للغات والآداب:عربية11190
0,0,0,رياضيات,,
