الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
0,97.2984,88.81,رياضيات,,
99.7049,95.74,108.7434,علوم تجريبية,,
72.2617,75.6651,75.8202,إقتصاد وتصرف,,
82.6101,80.5248,82.0334,العلوم التقنية,,
90.9267,80.1382,95.2407,علوم الإعلامية,,
111.6224,113.715,0,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
129.684,122.6969,124.18,آداب,"جامعة  قرطاجالمعهد العالى للفنون الجميلة بنابل",الإجازة  في تصميم الفضاء22207
0,139.455,127.0251,رياضيات,,
127.6403,128.7585,137.33,علوم تجريبية,,
98.0227,109.0936,104.7802,إقتصاد وتصرف,,
99.995,118.16,112.6068,العلوم التقنية,,
102.6933,107.125,108.505,علوم الإعلامية,,
160,132.175,161.59,رياضة,,
110.79,107.69,115.1909,آداب,"جامعة  قرطاجالمعهد العالى للفنون الجميلة بنابل",الاجازة  في تصميم المنتوج22208
0,105.785,118.9519,رياضيات,,
113.2844,111.3783,115.7045,علوم تجريبية,,
77.4983,74.5265,93.0274,إقتصاد وتصرف,,
68.5352,93.8949,87.1899,العلوم التقنية,,
81.7185,82.9999,90.1469,علوم الإعلامية,,
101.88,103.3888,0,رياضة,,
115.446,106.2082,119.1231,آداب,"جامعة  قرطاجالمعهد العالى للفنون الجميلة بنابل",الاجازة  في تصميم الصورة22209
120.52,115.025,106.6833,رياضيات,,
112.0361,118.6823,109.8409,علوم تجريبية,,
82.7502,94.1065,93.37,إقتصاد وتصرف,,
83.9701,102.9532,96.5497,العلوم التقنية,,
96.855,94.5484,93.63,علوم الإعلامية,,
90.495,104.47,160.51,رياضة,,
105.7696,91.3741,92.2767,آداب,"جامعة سوسةالمعهد العالى للفنون الجميلة بسوسة","الإجازة  في المحافظة على الممتلكات الثقافية و30162ترميمها"
0,0,0,رياضيات,,
123.9595,111.85,124.7905,علوم تجريبية,,
88.5435,79.2316,81.0756,إقتصاد وتصرف,,
86.8394,142.9306,158.13,العلوم التقنية,,
73.2782,111.025,119.965,علوم الإعلامية,,
165.7537,124.0237,0,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
84.3016,81.9299,79.0151,آداب,"جامعة سوسةالمعهد العالي للموسيقى بسوسة",الإجازة  في الموسيقى و العلوم الموسيقية30201
0,0,0,رياضيات,,
104.8018,106.54,111.835,علوم تجريبية,,
79.4063,83.2137,75.3686,إقتصاد وتصرف,,
80.6002,94.1831,97.2345,العلوم التقنية,,
115.2497,94.2135,0,علوم الإعلامية,,
129.4914,102.535,112.7513,رياضة,,
96.1066,93.0986,94.9019,آداب,"جامعة سوسةالمعهد العالى للفنون الجميلة بسوسة",الإجازة  في الفنون التشكيلية30202
0,122.73,105.2151,رياضيات,,
114.11,115.675,113.4307,علوم تجريبية,,
84.3231,76.7667,85.8084,إقتصاد وتصرف,,
88.8208,97.1611,76.3635,العلوم التقنية,,
83.3269,79.7818,78.0185,علوم الإعلامية,,
156.8888,104.685,166.2192,رياضة,,
138.458,123.7188,121.3273,آداب,"جامعة سوسةالمعهد العالى للفنون الجميلة بسوسة",الإجازة  في تصميم الفضاء30207
166.69,138.43,135.5155,رياضيات,,
128.3572,133.375,132.9101,علوم تجريبية,,
97.8355,113.5859,105.32,إقتصاد وتصرف,,
106.572,119.4976,118.625,العلوم التقنية,,
102.1797,99.5919,100.6442,علوم الإعلامية,,
167.9686,172.789,158.795,رياضة,,
123.7402,117.3309,114.86,آداب,"جامعة سوسةالمعهد العالى للفنون الجميلة بسوسة",الاجازة  في تصميم المنتوج30208
0,93.6935,105.3068,رياضيات,,
109.6073,129.115,114.7094,علوم تجريبية,,
82.3402,91.4701,90.64,إقتصاد وتصرف,,
88.5732,97.6715,98.495,العلوم التقنية,,
82.5633,93.6357,92.8118,علوم الإعلامية,,
145.1616,126.08,118.98,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
122.1191,117.363,114.4419,آداب,"جامعة سوسةالمعهد العالى للفنون الجميلة بسوسة",الاجازة  في تصميم الصورة30209
113.7571,108.6656,107.2067,رياضيات,,
112.8904,118.2386,124.3769,علوم تجريبية,,
76.6919,95.3648,93.0954,إقتصاد وتصرف,,
82.7919,108.2519,107.9791,العلوم التقنية,,
86.8897,83.945,77.1666,علوم الإعلامية,,
155.3319,160.8157,107.69,رياضة,,
115.305,0,113.495,رياضيات,"جامعة سوسةالمعهد العالي للموسيقى بسوسة",الاجازة  في هندسة وتقنيات الصوت30246
101.05,91.5265,97.2634,علوم تجريبية,,
81.5585,94.095,82.5584,العلوم التقنية,,
87.3632,84.4865,88.1802,علوم الإعلامية,,
116.1271,119.805,111.45,آداب,"جامعة المنستيرالمعهد العالي للموضة  بالمنستير",الاجازة  في تصميم المنتوج34208
99.9968,114.81,104.6852,رياضيات,,
119.325,119.7758,120.295,علوم تجريبية,,
83.9775,94.1958,91.1816,إقتصاد وتصرف,,
79.9933,94.505,83.0949,العلوم التقنية,,
85.0915,82.6431,85.3318,علوم الإعلامية,,
147.1,138.21,94.035,رياضة,,
117.68,128.055,120.9261,آداب,"جامعة المنستيرالمعهد العالي للفنون و الحرف بالمهدية",الإجازة  في تصميم الفضاء36207
93.4868,122.2743,117.315,رياضيات,,
116.84,132.6747,133.57,علوم تجريبية,,
95.1435,113.3,101.765,إقتصاد وتصرف,,
100.185,116.7638,112.265,العلوم التقنية,,
98.265,106.9633,98.56,علوم الإعلامية,,
162.5758,142.655,142.24,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
105.6786,116.9954,112.375,آداب,"جامعة المنستيرالمعهد العالي للفنون و الحرف بالمهدية",الاجازة  في تصميم المنتوج36208
0,98.0201,110.855,رياضيات,,
86.3134,109.0766,112.505,علوم تجريبية,,
77.2215,90.0268,85.8731,إقتصاد وتصرف,,
72.5266,94.2499,84.6933,العلوم التقنية,,
81.7867,91.8467,91.915,علوم الإعلامية,,
113.98,123.4994,101.63,رياضة,,
114.355,112.4303,111.76,آداب,"جامعة المنستيرالمعهد العالي للفنون و الحرف بالمهدية",الاجازة  في تصميم الصورة36209
0,103.0699,97.3683,رياضيات,,
99.81,112.245,101.1864,علوم تجريبية,,
74.035,89.335,85.9549,إقتصاد وتصرف,,
69.4601,95.2736,94.4518,العلوم التقنية,,
88.3165,94.065,85.8097,علوم الإعلامية,,
126.755,118.56,108.86,رياضة,,
83.0953,83.845,84.7549,آداب,"جامعة صفاقسالمعهد العالي للموسيقى بصفاقس",الإجازة  في الموسيقى و العلوم الموسيقية40201
122.3599,116.844,0,رياضيات,,
104.4519,104.5802,119.1552,علوم تجريبية,,
74.5858,87.87,72.2418,إقتصاد وتصرف,,
97.6431,90.381,87.9185,العلوم التقنية,,
103.1603,0,0,علوم الإعلامية,,
142.5294,0,0,رياضة,,
86.96,88.0383,85.6865,آداب,"جامعة صفاقسالمعهد العالى للفنون و الحرف بصفاقس",الإجازة  في الفنون التشكيلية40202
113.3612,100.6519,95.7058,رياضيات,,
106.5898,114.2314,111.462,علوم تجريبية,,
77.2068,80.0287,77.5585,إقتصاد وتصرف,,
72.0002,80.0283,88.51,العلوم التقنية,,
78.0117,79.735,0,علوم الإعلامية,,
89.69,180.6214,153.2829,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
119.931,118.9947,111.708,آداب,"جامعة صفاقسالمعهد العالى للفنون و الحرف بصفاقس",الإجازة  في تصميم الفضاء40207
145.2365,128.4482,121.4023,رياضيات,,
125.2596,120.74,139.7046,علوم تجريبية,,
105.4964,105.1115,97.3184,إقتصاد وتصرف,,
100.7951,108.161,106.235,العلوم التقنية,,
96.355,84.2884,81.145,علوم الإعلامية,,
165.1973,179.2625,151.7367,رياضة,,
112.6336,111.2212,107.9202,آداب,"جامعة صفاقسالمعهد العالى للفنون و الحرف بصفاقس",الاجازة  في تصميم المنتوج40208
95.4173,124.4624,95.7665,رياضيات,,
107.7867,116.4321,123.3175,علوم تجريبية,,
74.3882,74.1435,85.2668,إقتصاد وتصرف,,
71.8266,83.3953,82.8119,العلوم التقنية,,
84.2217,83.6298,0,علوم الإعلامية,,
92.83,143.6101,129.149,رياضة,,
106.24,110.6989,109.1167,آداب,"جامعة صفاقسالمعهد العالى للفنون و الحرف بصفاقس",الاجازة  في تصميم الصورة40209
108.7763,111.5566,104.0468,رياضيات,,
115.5119,116.0164,119.2729,علوم تجريبية,,
79.7846,88.8367,76.53,إقتصاد وتصرف,,
79.5116,74.0502,75.9648,العلوم التقنية,,
87.3868,86.1493,89.9633,علوم الإعلامية,,
152.0631,0,152.4911,رياضة,,
108.5432,114.45,99.6185,رياضيات,"جامعة صفاقسالمعهد العالي للموسيقى بصفاقس","الإجازة  في هندسة الصوت والتكنولوجيات40247الحديثة"
86.3351,87.0586,89.7752,علوم تجريبية,,
76.5586,89.65,91.6284,العلوم التقنية,,
92.3518,90.6835,90.7849,علوم الإعلامية,,
111.2747,111.708,109.6396,آداب,"جامعة صفاقسالمعهد العالى للفنون و الحرف بصفاقس",الإجازة  في السينما والسمعي البصري40265
0,109.5573,97.3881,رياضيات,,
97.8712,105.8533,113.1044,علوم تجريبية,,
83.9005,101.6179,103.4583,إقتصاد وتصرف,,
79.2918,96.21,113.2381,العلوم التقنية,,
76.2668,90.0502,92.3733,علوم الإعلامية,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
125.7571,120.39,109.9835,آداب,"جامعة صفاقسالمعهد العالى للفنون و الحرف بصفاقس",الإجازة  في الفنون و الوسائط40622
0,102.0552,105.0032,رياضيات,,
109.9443,109.7265,114.865,علوم تجريبية,,
96.4997,82.4634,85.7998,إقتصاد وتصرف,,
94.5862,95.5904,125.6341,العلوم التقنية,,
93.1435,103.2616,98.1785,علوم الإعلامية,,
91.0037,94.4188,77.5751,آداب,"جامعة قابسالمعهد العالي للفنون و الحرف بقابس","الإجازة  في المحافظة على الممتلكات الثقافية و50162ترميمها"
0,0,0,رياضيات,,
0,97.7083,112.08,علوم تجريبية,,
76.1591,70.1517,71.1002,إقتصاد وتصرف,,
164.08,0,94.8583,العلوم التقنية,,
0,94.2249,0,علوم الإعلامية,,
0,0,0,رياضة,,
85.55,96.35,83.5101,آداب,"جامعة قابسالمعهد العالي للفنون و الحرف بقابس",الإجازة  في الموسيقى و العلوم الموسيقية50201
103.1082,0,0,رياضيات,,
105.7429,100.0342,89.3332,علوم تجريبية,,
121.9051,120.3483,0,إقتصاد وتصرف,,
0,0,108.7655,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
93.3362,93.4903,88.3801,آداب,"جامعة قابسالمعهد العالي للفنون و الحرف بقابس",الإجازة  في الفنون التشكيلية50202
0,0,0,رياضيات,,
104.3697,98.545,93.4714,علوم تجريبية,,
77.0029,82.0388,75.3602,إقتصاد وتصرف,,
84.4659,90.705,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
107.6581,107.955,0,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
120.3536,117.58,108.27,آداب,"جامعة قابسالمعهد العالي للفنون و الحرف بقابس",الإجازة  في تصميم الفضاء50207
0,117.256,105.345,رياضيات,,
122.5846,117.66,116.7477,علوم تجريبية,,
93.7055,94.0199,88.4927,إقتصاد وتصرف,,
86.7717,95.6116,94.8102,العلوم التقنية,,
82.8251,74.0314,91.0419,علوم الإعلامية,,
122.8574,118.1173,111.3408,رياضة,,
111.845,103.8061,101.4307,آداب,"جامعة قابسالمعهد العالي للفنون و الحرف بقابس",الاجازة  في تصميم الصورة50209
0,0,0,رياضيات,,
98.7,100.625,85.1732,علوم تجريبية,,
73.6431,73.6131,73.1248,إقتصاد وتصرف,,
79.3752,76.8986,81.545,العلوم التقنية,,
81.8118,82.9698,0,علوم الإعلامية,,
0,0,0,رياضة,,
117.2292,116.4642,103.5332,آداب,"جامعة قابسالمعهد العالي للإعلامية   و الملتيميديا بقابس",الإجازة  في الفنون و الوسائط50622
0,94.9199,98.7618,رياضيات,,
86.5568,87.1832,87.3199,علوم تجريبية,,
92.6568,84.5701,89.3699,إقتصاد وتصرف,,
80.5002,74.8916,91.0892,العلوم التقنية,,
77.1933,83.66,100.2697,علوم الإعلامية,,
80.1183,86.3829,80.7868,آداب,"جامعة قابسالمعهد العالي للفنون و الحرف بتطاوين",الإجازة  في الفنون التشكيلية56202
0,0,0,رياضيات,,
92.2051,92.3816,89.4198,علوم تجريبية,,
72.4601,73.6686,106.955,إقتصاد وتصرف,,
81.6801,0,0,العلوم التقنية,,
77.4801,0,0,علوم الإعلامية,,
90.4267,0,0,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
119.3318,120.145,110.2903,آداب,"جامعة قابسالمعهد العالي للفنون و الحرف بتطاوين",الإجازة  في تصميم الفضاء56207
0,101.525,0,رياضيات,,
114.367,118.595,123.8953,علوم تجريبية,,
87.014,73.5627,71.2835,إقتصاد وتصرف,,
70.2333,74.7067,84.8799,العلوم التقنية,,
78.6367,89.1367,0,علوم الإعلامية,,
119.6742,156.775,152.09,رياضة,,
106.5025,103.4048,110.0602,آداب,"جامعة قابسالمعهد العالي للفنون و الحرف بتطاوين",الاجازة  في تصميم الصورة56209
0,0,0,رياضيات,,
100.3598,95.3583,0,علوم تجريبية,,
85.3433,90.44,82.8699,إقتصاد وتصرف,,
74.1984,0,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
99.8024,84.6014,88.0326,آداب,"جامعة قفصةالمعهد العالي للفنون و الحرف بقفصة",الإجازة  في الموسيقى و العلوم الموسيقية60201
0,0,0,رياضيات,,
121.8302,106.0192,103.4655,علوم تجريبية,,
78.0415,0,0,إقتصاد وتصرف,,
0,0,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
115.7312,112.59,104.225,آداب,"جامعة قفصةالمعهد العالي للفنون و الحرف بقفصة",الإجازة  في تصميم الفضاء60207
0,103.2751,88.9636,رياضيات,,
86.6833,123.095,111.0963,علوم تجريبية,,
70.7867,75.2799,74.6217,إقتصاد وتصرف,,
68.8867,78.8651,74.7566,العلوم التقنية,,
78.1099,79.5191,91.74,علوم الإعلامية,,
122.7665,117.38,92.8569,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
107.665,97.2852,96.9454,آداب,"جامعة قفصةالمعهد العالي للفنون و الحرف بقفصة",الاجازة  في تصميم المنتوج60208
0,0,0,رياضيات,,
125.9337,106.74,86.9434,علوم تجريبية,,
78.2033,76.5051,70.9368,إقتصاد وتصرف,,
0,0,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
108.145,104.5087,97.02,آداب,"جامعة قفصةالمعهد العالي للفنون و الحرف بقفصة",الاجازة  في تصميم الصورة60209
0,0,0,رياضيات,,
0,110.4955,83.5965,علوم تجريبية,,
74.4583,81.1217,79.865,إقتصاد وتصرف,,
96.3515,115.9452,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
123.285,0,0,رياضة,,
75.8231,80.5633,76.3132,آداب,"جامعة القيروانالمعهد العالي للفنون والحرف بالقيروان",الإجازة  في الفنون التشكيلية70202
0,0,0,رياضيات,,
93.7962,91.1602,92.5443,علوم تجريبية,,
72.5052,83.6749,78.0985,إقتصاد وتصرف,,
78.4116,72.6984,0,العلوم التقنية,,
73.7552,78.1975,0,علوم الإعلامية,,
127.7687,93.66,0,رياضة,,
111.9595,111.0874,106.86,آداب,"جامعة القيروانالمعهد العالي للفنون والحرف بالقيروان",الإجازة  في تصميم الفضاء70207
88.1835,111.24,104.3183,رياضيات,,
108.105,110.94,113.2567,علوم تجريبية,,
77.2234,73.6468,81.841,إقتصاد وتصرف,,
67.6001,93.2985,75.0366,العلوم التقنية,,
80.1067,75.955,84.565,علوم الإعلامية,,
159.12,100.565,138.92,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
99.735,95.4368,101.6145,آداب,"جامعة القيروانالمعهد العالي للفنون والحرف بالقيروان",الاجازة  في تصميم المنتوج70208
0,0,0,رياضيات,,
72.5066,98.4367,99.4314,علوم تجريبية,,
71.9667,77.5618,72.2351,إقتصاد وتصرف,,
76.0851,71.6882,94.195,العلوم التقنية,,
88.34,86.65,0,علوم الإعلامية,,
161.2383,102.6023,0,رياضة,,
99.5734,102.515,100.2948,آداب,"جامعة القيروانالمعهد العالي للفنون والحرف بالقيروان",الاجازة  في تصميم الصورة70209
0,0,0,رياضيات,,
85.2316,90.0467,100.83,علوم تجريبية,,
69.6701,78.1916,74.9002,إقتصاد وتصرف,,
75.2922,86.435,92.955,العلوم التقنية,,
79.3466,80.9083,106.43,علوم الإعلامية,,
135.4192,0,0,رياضة,,
87.2017,83.5049,86.208,آداب,"جامعة القيروانالمعهد العالي للفنون و الحرف بالقصرين",الإجازة  في الفنون التشكيلية73202
0,0,0,رياضيات,,
110.175,114.2259,0,علوم تجريبية,,
77.1291,122.1941,88.8633,إقتصاد وتصرف,,
0,0,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,157.0118,0,رياضة,,
117.5449,129.1169,102.9967,آداب,"جامعة القيروانالمعهد العالي للفنون و الحرف بالقصرين",الإجازة  في تصميم الفضاء73207
0,93.635,84.6283,رياضيات,,
91.74,128.0255,102.2502,علوم تجريبية,,
70.735,72.9585,74.3752,إقتصاد وتصرف,,
77.5549,77.3683,87.3599,العلوم التقنية,,
80.0868,85.1184,0,علوم الإعلامية,,
101.625,0,0,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
104.202,91.0716,100.7922,آداب,"جامعة القيروانالمعهد العالي للفنون و الحرف بالقصرين",الاجازة  في تصميم المنتوج73208
0,0,0,رياضيات,,
100.9151,103.8153,90.5683,علوم تجريبية,,
0,92.1683,91.8827,إقتصاد وتصرف,,
0,0,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
95.0283,73.2567,80.1449,آداب,"جامعة القيروانالمعهد العالي للفنون والحرف بسيدي بوزيد",الإجازة  في الفنون التشكيلية75202
0,0,0,رياضيات,,
87.61,88.7156,0,علوم تجريبية,,
83.2817,0,85.8375,إقتصاد وتصرف,,
107.8025,0,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,135.6493,0,رياضة,,
118.135,101.955,102.7539,آداب,"جامعة القيروانالمعهد العالي للفنون والحرف بسيدي بوزيد",الإجازة  في تصميم الفضاء75207
0,107.745,0,رياضيات,,
87.9418,98.54,110.0401,علوم تجريبية,,
70.0566,71.5365,73.4749,إقتصاد وتصرف,,
69.6416,79.0115,80.6517,العلوم التقنية,,
72.8186,81.0267,87.1215,علوم الإعلامية,,
0,143.2088,105.914,رياضة,,
116.6782,83.3451,100.2418,آداب,"جامعة القيروانالمعهد العالي للفنون والحرف بسيدي بوزيد",الاجازة  في تصميم المنتوج75208
0,0,0,رياضيات,,
96.9869,98.2334,87.8684,علوم تجريبية,,
85.41,87.915,82.0244,إقتصاد وتصرف,,
0,86.0617,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
113.3398,83.0086,97.375,آداب,"جامعة القيروانالمعهد العالي للفنون والحرف بسيدي بوزيد",الاجازة  في تصميم الصورة75209
0,0,0,رياضيات,,
88.315,87.3785,89.1468,علوم تجريبية,,
81.3075,89.3591,78.5332,إقتصاد وتصرف,,
0,83.6786,82,العلوم التقنية,,
0,79.5816,0,علوم الإعلامية,,
0,0,94.6,رياضة,,
83.1768,76.0298,94.7884,آداب,"جامعة جندوبةالمعهد العالي للموسيقى و المسرح بالكاف",الإجازة  في المسرح  و فنون العرض82200
0,0,0,رياضيات,,
90.9303,94.4566,98.6,علوم تجريبية,,
76.3699,78.7685,79.87,إقتصاد وتصرف,,
80.5682,100.2,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
87.23,89.6367,89.714,آداب,"جامعة جندوبةالمعهد العالي للموسيقى و المسرح بالكاف",الإجازة  في الموسيقى و العلوم الموسيقية82201
0,0,0,رياضيات,,
86.9035,120.0112,115.6028,علوم تجريبية,,
0,103.285,84.1736,إقتصاد وتصرف,,
0,93.6535,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
76.2417,80.4935,83.0882,آداب,"جامعة جندوبةالمعهد العالي للفنون و الحرف بسليانة",الإجازة  في الفنون التشكيلية86202
0,0,0,رياضيات,,
99.29,98.0904,101.871,علوم تجريبية,,
81.6499,82.1484,67.9818,إقتصاد وتصرف,,
80.8599,84.2429,99.2014,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
الثقافة والفنون الجميلة والفنون والحرف
الثقافة والفنون الجميلة والفنون والحرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
112.3554,116.4783,115.33,آداب,"جامعة جندوبةالمعهد العالي للفنون و الحرف بسليانة",الإجازة  في تصميم الفضاء86207
0,107.42,106.5058,رياضيات,,
108.78,98.9618,126.475,علوم تجريبية,,
75.6066,72.97,76.0368,إقتصاد وتصرف,,
75.827,92.42,75.3382,العلوم التقنية,,
86,75.7183,87.4685,علوم الإعلامية,,
0,137.735,117.0794,رياضة,,
102.5702,100.553,102.5863,آداب,"جامعة جندوبةالمعهد العالي للفنون و الحرف بسليانة",الاجازة  في تصميم الصورة86209
0,0,0,رياضيات,,
90.6834,115.4851,98.8716,علوم تجريبية,,
76.4733,78.7164,73.3066,إقتصاد وتصرف,,
87.9289,85.4289,89.3566,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
العلوم القانونية والعلوم السياسية
العلوم القانونية والعلوم السياسية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
122.5525,128.9457,127.835,آداب,"جامعة تونس المناركلية الحقوق والعلوم السياسية  بتونس",الإجازة  في القانون10301
105.4681,133.8945,139.4424,رياضيات,,
126.575,147.6279,149.5967,علوم تجريبية,,
106.4633,116.9885,105.9443,إقتصاد وتصرف,,
97.6969,153.0742,146.535,العلوم التقنية,,
148.5053,119.091,128.4696,علوم الإعلامية,,
175.1911,124.55,104.5053,رياضة,,
112.965,112.655,110.71,آداب,"جامعة  قرطاجالمعهد الوطني للشغل والدراسات الإجتماعية  بتونس",الإجازة  في القانون الاجتماعي10346
94.175,99.07,96.35,إقتصاد وتصرف,,
139.5494,147.45,147.1892,آداب,"جامعة  قرطاجكلية العلوم القانونية والسياسية والإجتماعية  بتونس",الإجازة  في القانون11301
110.779,160.1683,142.9,رياضيات,,
115.9024,160.2486,159.9597,علوم تجريبية,,
122.392,129.5,120.252,إقتصاد وتصرف,,
119.7669,158.7773,159.12,العلوم التقنية,,
138.8218,127.116,138.6613,علوم الإعلامية,,
172.0828,164.37,152.0203,رياضة,,
114.02,116.2127,112.1628,آداب,"جامعة سوسةكلية الحقوق والعلوم السياسية بسوسة",الإجازة  في القانون30301
101.3399,123.505,122.805,رياضيات,,
130.805,139.0947,140.3466,علوم تجريبية,,
97.5271,102.5167,91.9801,إقتصاد وتصرف,,
128.5552,169.0654,145.435,العلوم التقنية,,
119.215,97.9233,133.875,علوم الإعلامية,,
170.0444,120.14,87.7851,رياضة,,
106.4276,107.235,102.42,آداب,"جامعة صفاقسكلية الحقوق بصفاقس",الإجازة  في القانون40301
102.8634,111.5151,105.6035,رياضيات,,
121.0117,129.0688,126.9662,علوم تجريبية,,
87.5706,90.9983,72.0668,إقتصاد وتصرف,,
108.9046,145.8089,129.92,العلوم التقنية,,
117.8,106.65,86.5318,علوم الإعلامية,,
176.1381,85.735,87.655,رياضة,,
العلوم القانونية والعلوم السياسية
العلوم القانونية والعلوم السياسية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
104.6353,104.7102,96.84,آداب,"جامعة قابسالمعهد العالي للدراسات القانونية بقابس",الإجازة  في القانون50301
106.2136,90.6602,97.495,رياضيات,,
116.4,120.385,113.395,علوم تجريبية,,
78.3836,76.3089,75.9336,إقتصاد وتصرف,,
77.4998,138.458,127.7206,العلوم التقنية,,
119.3442,99.915,171.2107,علوم الإعلامية,,
150.0515,97.1472,0,رياضة,,
100.865,100.2305,99.3175,آداب,"جامعة القيروانالمعهد العالي للدراسات القانونية والسياسيةبالقيروان",الإجازة  في القانون70301
121.4718,101.455,104.5,رياضيات,,
114.1797,118.112,116.4235,علوم تجريبية,,
72.8103,72.0449,70.3585,إقتصاد وتصرف,,
110.285,131.5458,119.1659,العلوم التقنية,,
116.065,97.5383,102.465,علوم الإعلامية,,
154.2245,147.03,97.0564,رياضة,,
103.16,100.4784,96.8794,آداب,"جامعة جندوبةكلية العلوم القانونية والإقتصادية  والتصرف بجندوبة",الإجازة  في القانون80301
0,92.0485,93.6734,رياضيات,,
115.47,115.9582,109.3067,علوم تجريبية,,
84.43,69.8603,75.437,إقتصاد وتصرف,,
111.4119,113.5859,118.1173,العلوم التقنية,,
105.04,110.7504,100.136,علوم الإعلامية,,
96.2181,0,0,رياضة,,
العلوم الإقتصادية  وعلوم التصرف
العلوم الإقتصادية  وعلوم التصرف,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
126.8111,147.8312,138.87,رياضيات,"جامعة تونسالمعهد العالي للتصرف بتونس",الاجازة  في العلوم الاقتصادية10312
167.01,143.701,166.7328,علوم تجريبية,,
143.7652,151.8651,137.8588,إقتصاد وتصرف,,
104.2822,157.4024,143.01,رياضيات,"جامعة تونسالمعهد العالي للتصرف بتونس",الإجازة  في علوم  التصرف10318
154.375,144.575,175.0413,علوم تجريبية,,
164.6249,171.4461,154.7167,إقتصاد وتصرف,,
165.875,119.4816,171.0288,العلوم التقنية,,
148.4465,149.5646,153.5183,علوم الإعلامية,,
105.9349,102.44,102.5334,آداب,"جامعة  قرطاجالمعهد الوطني للشغل والدراسات الإجتماعية  بتونس",الاجازة  في علوم الشغل10347
0,121.665,116.595,رياضيات,,
113.735,118.3767,123.335,علوم تجريبية,,
104.3331,106.455,103.3151,إقتصاد وتصرف,,
107.7748,91.7,127.74,العلوم التقنية,,
105.29,107.92,100.7602,علوم الإعلامية,,
