عدد;الرمز;اسم الشهادة بالعربية;المجال;nom certificat en français;مدة الدراسة;التخصصات;نوع البكالوريا;التنفيل الجغرافي;تتطلب اختبارات;لها شروط خاصة;المؤسسة;الجامعة;الولاية;صيغة مجموع النقاط;تفسير صيغة مجموع النقاط;الآفاق الجامعية;الآفاق المهنية;score2019;score2020;score2021;score2022;score2023;score2024;score2025
244;60103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;رياضة;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بقفصة;قفصة;قفصة;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;92.18;0;0;0
245;63103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بتوزر;جامعة قفصة;توزر;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;73.09;79.41;80.39;76.98;78.09;84.37;78.2
246;63103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بتوزر;جامعة قفصة;توزر;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
247;63103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بتوزر;جامعة قفصة;توزر;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;99.84;112.12;118.16;104.4;108.04;125.38;119.4
248;63103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بتوزر;جامعة قفصة;توزر;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;100.99;0;84.78;70.05;88.74;0
249;63103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بتوزر;جامعة قفصة;توزر;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
250;63103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بتوزر;جامعة قفصة;توزر;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
251;63103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;رياضة;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بتوزر;جامعة قفصة;توزر;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
252;70103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;77.31;77.45;73.4;79.49;75.07;76.09;74.27
253;70103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;117.59;0;0;0;0
254;70103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;85.01;86.92;86.92;100.34;120.21;110.73;124.87
255;70103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;73.62;109.85;64;74.89;95.23;87.8
256;70103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;العلوم التقنية;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;95.08;0;98.38;105.19;105.14;86.71;77.23
257;70103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
258;70103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;رياضة;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
259;80103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;المعهد العالي للعلوم الإنسانية جندوبة;جامعة جندوبة;جندوبة;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;74.8;76;73.12;76.07;73.48;67.02;67.53
260;80103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;المعهد العالي للعلوم الإنسانية جندوبة;جامعة جندوبة;جندوبة;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;94.77;0;0;0;0
261;80103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;المعهد العالي للعلوم الإنسانية جندوبة;جامعة جندوبة;جندوبة;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;106.82;112.23;113.04;96.02;122.23;116.99;118.83
262;80103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للعلوم الإنسانية جندوبة;جامعة جندوبة;جندوبة;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;104.66;108.6;76.83;83.73;77.54;78.1
263;80103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;العلوم التقنية;نعم;لا;لا;المعهد العالي للعلوم الإنسانية جندوبة;جامعة جندوبة;جندوبة;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;108.09;103.38;111.16;87.07;85.21;98.26;92.55
264;80103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;المعهد العالي للعلوم الإنسانية جندوبة;جامعة جندوبة;جندوبة;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
265;80103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;رياضة;نعم;لا;لا;المعهد العالي للعلوم الإنسانية جندوبة;جامعة جندوبة;جندوبة;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
266;82103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف;جامعة جندوبة;الكاف;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;81.04;74.44;72.09;70.06;72.58;72.44;78.6
267;82103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف;جامعة جندوبة;الكاف;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
268;82103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف;جامعة جندوبة;الكاف;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;105.34;104.72;115.62;100.32;114.3;121.12;110.48
269;82103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف;جامعة جندوبة;الكاف;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;100.25;72.08;78.39;85.53;68.25
270;82103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف;جامعة جندوبة;الكاف;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;95.82;0;105.59;0;113.83;0;98.09
271;82103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف;جامعة جندوبة;الكاف;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;97.04;0;0
272;82103;الإجازة في الفرنسية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Français;03 سنوات;اللغة والآدب والحضارة;رياضة;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف;جامعة جندوبة;الكاف;FG+F;الصيغة الإجمالية+الفرنسية;ماجستير بحث-ماجستير مهني;أستاذ فرنسية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;84.38;0;0;90.23
273;10104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;88.9;80.28;82.68;81.65;78.36;89.83;85.26
274;10104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;113.26;116.06;140.58;116.76;102.22;127.5;0
275;10104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;134.41;126.61;152.57;118.03;128.44;129.95;126.79
276;10104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;110.89;117.1;113.44;120.9;95.62;106.38;103.84
277;10104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اللغة والآدب والحضارة;العلوم التقنية;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;96.71;118.21;120.84;125.76;116.77;0;0
278;10104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;127.13;93.47;133.23;0;120.3
279;10104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اللغة والآدب والحضارة;رياضة;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
280;11104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اقتصاد وتجارة دولية;آداب;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;المعهد العالي للعلوم الإنسانية بتونس;جامعة تونس المنار;تونس;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;88.54;84.2;82.87;95.43;91.29;112.18;101.93
281;11104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اقتصاد وتجارة دولية;رياضيات;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;المعهد العالي للعلوم الإنسانية بتونس;جامعة تونس المنار;تونس;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;124.2;136.4;147.54;137.05;147.87;0;0
282;11104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اقتصاد وتجارة دولية;علوم تجريبية;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;المعهد العالي للعلوم الإنسانية بتونس;جامعة تونس المنار;تونس;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;122.44;128.28;141.12;130.56;141.24;134.45;135.26
283;11104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اقتصاد وتجارة دولية;اقتصاد وتصرف;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;المعهد العالي للعلوم الإنسانية بتونس;جامعة تونس المنار;تونس;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;129.96;112.94;104.85;114.77;95.1;99.18;108.42
284;11104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اقتصاد وتجارة دولية;العلوم التقنية;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;المعهد العالي للعلوم الإنسانية بتونس;جامعة تونس المنار;تونس;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;111.4;124.33;145.57;135.51;129.06;104.71;118.19
285;11104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اقتصاد وتجارة دولية;علوم الإعلامية;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;المعهد العالي للعلوم الإنسانية بتونس;جامعة تونس المنار;تونس;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;124.52;0;0;108.89;123.48;146.02;0
286;11104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اقتصاد وتجارة دولية;رياضة;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;المعهد العالي للعلوم الإنسانية بتونس;جامعة تونس المنار;تونس;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;0;0;0;0;0;0;0
287;12104;الإجازة في الإسبانية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Espagnol;03 سنوات;اللغة والآدب والحضارة+تواصل الثقافات والسياحة;آداب;نعم;لا;نعم: يجب أن تكون مادتك الاختيارية إسبانية;المعهد العالي للغات بتونس;جامعة قرطاج;تونس;FG+ESP;الصيغة الإجمالية+الإسبانية;ماجستير بحث-ماجستير مهني;أستاذ إسبانية بالتعليم الثانوي أو بالتكوين المهني السياحي+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة;91.89;80.55;82.04;92.09;82.75;96.48;86.48
