عدد;الرمز;اسم الشهادة بالعربية;المجال;nom certificat en français;مدة الدراسة;التخصصات;نوع البكالوريا;التنفيل الجغرافي;تتطلب اختبارات;لها شروط خاصة;المؤسسة;الجامعة;الولاية;صيغة مجموع النقاط;تفسير صيغة مجموع النقاط;الآفاق الجامعية;الآفاق المهنية;score2019;score2020;score2021;score2022;score2023;score2024;score2025
14;12101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للعلوم الإنسانية بتونس;جامعة تونس المنار;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;86.2;89.11;88.08;86;85.79;96.76;91.96
15;12101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;المعهد العالي للعلوم الإنسانية بتونس;جامعة تونس المنار;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;108.76;0;0;0;113.48;104.07;120.93
16;13101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;المعهد العالي للغات بتونس;جامعة قرطاج;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;89;98.54;93.78;93.03;92.24;92.61;94.96
17;13101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;المعهد العالي للغات بتونس;جامعة قرطاج;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;117.77;137.2;0;0;0
18;13101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;المعهد العالي للغات بتونس;جامعة قرطاج;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;95.36;119.21;115.42;92.71;112.84;119.77;88.53
19;13101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للغات بتونس;جامعة قرطاج;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;97.11;79.19;77.47;85.38;84.99;93.65;82.69
20;13101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;المعهد العالي للغات بتونس;جامعة قرطاج;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;83.24;0;120.67;104.19;0;93.16;111.9
21;22101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;المعهد العالي للغات بنابل;جامعة قرطاج;نابل;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;97.42;96.38;99.82;97.74;98.79;99.93;99.83
22;22101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;المعهد العالي للغات بنابل;جامعة قرطاج;نابل;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;0;0;0
23;22101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;المعهد العالي للغات بنابل;جامعة قرطاج;نابل;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;98.06;101.59;113.71;109.13;116.5;109.6;111.51
